,계약년,주소,단지명,전용면적(㎡),면적라벨,거래금액(만원),m2당금액(만원)
122,2012,경기도 덕이동 1540,하이파크시티일산아이파크5단지,84,3.0,42435,498
123,2012,경기도 덕이동 1540,하이파크시티일산아이파크5단지,124,3.0,51201,409
124,2012,경기도 덕이동 1540,하이파크시티일산아이파크5단지,127,3.0,48038,375
125,2012,경기도 덕이동 1540,하이파크시티일산아이파크5단지,146,3.0,60509,412
126,2012,경기도 덕이동 1540,하이파크시티일산아이파크5단지,175,3.0,61799,351
127,2012,경기도 덕이동 277-10,철산,36,1.0,10339,285
128,2012,경기도 덕이동 277-10,철산,37,1.0,10475,281
129,2012,경기도 덕이동 277-10,철산,43,1.0,11760,271
130,2012,경기도 덕이동 676-1,동문굿모닝힐3,84,3.0,18200,215
131,2012,경기도 동산동 344,동산마을호반베르디움,84,3.0,37446,440
132,2012,경기도 동산동 365,동산마을22단지호반베르디움,84,3.0,37896,445
133,2012,경기도 마두동 717,백마마을(쌍용),50,1.0,16500,328
134,2012,경기도 마두동 717,백마마을(쌍용),70,2.0,25157,356
135,2012,경기도 마두동 717,백마마을(쌍용),84,3.0,31000,365
136,2012,경기도 마두동 717,백마마을(쌍용),134,3.0,40800,302
137,2012,경기도 마두동 717,백마마을(한성),50,1.0,16021,318
138,2012,경기도 마두동 717,백마마을(한성),70,2.0,23661,335
139,2012,경기도 마두동 717,백마마을(한성),84,3.0,32300,380
140,2012,경기도 마두동 717,백마마을(한성),101,3.0,37500,368
141,2012,경기도 마두동 719,백마마을(벽산),59,1.0,21000,350
142,2012,경기도 마두동 719,백마마을(벽산),84,3.0,31012,364
143,2012,경기도 마두동 719,백마마을(벽산),101,3.0,35500,348
144,2012,경기도 마두동 719,백마마을(벽산),134,3.0,49200,364
145,2012,경기도 마두동 732,백마마을(금호),41,1.0,14783,352
146,2012,경기도 마두동 732,백마마을(금호),83,2.0,31050,370
147,2012,경기도 마두동 732,백마마을(한양),41,1.0,12611,306
148,2012,경기도 마두동 732,백마마을(한양),84,3.0,29816,350
149,2012,경기도 마두동 734,백마마을(청구),101,3.0,36333,359
150,2012,경기도 마두동 734,백마마을(청구),134,3.0,48300,358
151,2012,경기도 마두동 734,백마마을(한양4),101,3.0,35450,347
152,2012,경기도 마두동 734,백마마을(한양4),134,3.0,42100,311
153,2012,경기도 마두동 739,백마마을(극동),101,3.0,34000,333
154,2012,경기도 마두동 739,백마마을(극동),114,3.0,41491,361
155,2012,경기도 마두동 739,백마마을(극동),132,3.0,52700,396
156,2012,경기도 마두동 739,백마마을(삼환),101,3.0,41250,404
157,2012,경기도 마두동 739,백마마을(삼환),114,3.0,42000,365
158,2012,경기도 마두동 739,백마마을(삼환),132,3.0,48628,365
159,2012,경기도 마두동 755,백마마을(삼성),101,3.0,41071,402
160,2012,경기도 마두동 755,백마마을(삼성),133,3.0,54005,404
161,2012,경기도 마두동 757,강촌마을(동아),84,3.0,34271,403
162,2012,경기도 마두동 757,강촌마을(동아),154,3.0,55033,357
163,2012,경기도 마두동 783,강촌마을(한신),94,3.0,35842,380
164,2012,경기도 마두동 783,강촌마을(한신),134,3.0,49033,363
165,2012,경기도 마두동 783,강촌마을(한신),173,3.0,57928,333
166,2012,경기도 마두동 787,강촌마을(미도파),134,3.0,48000,356
167,2012,경기도 마두동 787,강촌마을(미도파),165,3.0,58250,350
168,2012,경기도 마두동 787,강촌마을(영남),134,3.0,48333,358
169,2012,경기도 마두동 787,강촌마을(진흥),134,3.0,43500,322
170,2012,경기도 마두동 789,강촌마을(라이프),36,1.0,12958,354
171,2012,경기도 마두동 789,강촌마을(라이프),47,1.0,18037,378
172,2012,경기도 마두동 789,강촌마을(라이프),49,1.0,17798,361
173,2012,경기도 마두동 789,강촌마을(라이프),84,3.0,32001,376
174,2012,경기도 마두동 794,강촌마을(우방),84,3.0,35184,413
175,2012,경기도 마두동 794,강촌마을(우방),134,3.0,48250,357
176,2012,경기도 마두동 794,강촌마을(우방),164,3.0,80000,486
177,2012,경기도 마두동 796,강촌마을(선경),101,3.0,43283,425
178,2012,경기도 마두동 796,강촌마을(선경),134,3.0,57000,423
179,2012,경기도 마두동 796,강촌마을(코오롱),101,3.0,42000,411
180,2012,경기도 마두동 796,강촌마을(코오롱),123,3.0,50666,409
181,2012,경기도 마두동 796,강촌마을(코오롱),134,3.0,49166,364
182,2012,경기도 마두동 806,강촌마을(한양6),35,1.0,12197,347
183,2012,경기도 백석동 1135,백송마을(대우),58,1.0,16050,273
184,2012,경기도 백석동 1135,백송마을(대우),69,2.0,21816,314
185,2012,경기도 백석동 1135,백송마을(대우),84,3.0,25700,302
186,2012,경기도 백석동 1135,백송마을(벽산),58,1.0,15600,266
187,2012,경기도 백석동 1135,백송마을(벽산),69,2.0,21750,313
188,2012,경기도 백석동 1136,백송마을(임광),59,1.0,16268,273
189,2012,경기도 백석동 1136,백송마을(임광),66,2.0,20000,300
190,2012,경기도 백석동 1136,백송마을(임광),84,3.0,24183,286
191,2012,경기도 백석동 1139,백송마을(선경),51,1.0,15930,311
192,2012,경기도 백석동 1139,백송마을(선경),71,2.0,24492,342
193,2012,경기도 백석동 1139,백송마을(선경),84,3.0,28433,335
194,2012,경기도 백석동 1139,백송마을(코오롱),51,1.0,15366,300
195,2012,경기도 백석동 1139,백송마을(코오롱),71,2.0,23033,322
196,2012,경기도 백석동 1139,백송마을(코오롱),84,3.0,30500,360
197,2012,경기도 백석동 1140,백송마을(두산),59,1.0,17916,299
198,2012,경기도 백석동 1140,백송마을(두산),71,2.0,23400,327
199,2012,경기도 백석동 1140,백송마을(두산),84,3.0,26850,315
200,2012,경기도 백석동 1183,백송마을(우성),37,1.0,12083,319
201,2012,경기도 백석동 1183,백송마을(우성),39,1.0,12060,301
202,2012,경기도 백석동 1183,백송마을(우성),52,1.0,15955,301
203,2012,경기도 백석동 1183,백송마을(한신),37,1.0,11883,313
204,2012,경기도 백석동 1183,백송마을(한신),39,1.0,12730,318
205,2012,경기도 백석동 1183,백송마을(한신),52,1.0,16200,305
206,2012,경기도 백석동 1186,백송마을(대림),48,1.0,14842,302
207,2012,경기도 백석동 1186,백송마을(대림),58,1.0,20325,345
208,2012,경기도 백석동 1187,백송마을(삼부),84,3.0,26377,310
209,2012,경기도 백석동 1190,백송마을(삼호),59,1.0,20065,334
210,2012,경기도 백석동 1190,백송마을(삼호),84,3.0,27600,325
211,2012,경기도 백석동 1190,백송마을(풍림),59,1.0,20383,339
212,2012,경기도 백석동 1190,백송마을(풍림),84,3.0,28260,332
213,2012,경기도 백석동 1194,흰돌마을(금호),51,1.0,16143,311
214,2012,경기도 백석동 1194,흰돌마을(금호),59,1.0,19320,324
215,2012,경기도 백석동 1344,흰돌마을(서안),59,1.0,22144,369
216,2012,경기도 백석동 1344,흰돌마을(서안),73,2.0,26145,356
217,2012,경기도 백석동 1344,흰돌마을(서안),84,3.0,29512,347
218,2012,경기도 백석동 1349,흰돌마을(국제),49,1.0,20066,405
219,2012,경기도 백석동 1349,흰돌마을(국제),69,2.0,25800,373
220,2012,경기도 백석동 1349,흰돌마을(국제),84,3.0,29000,342
221,2012,경기도 백석동 1349,흰돌마을(한진),49,1.0,19358,390
222,2012,경기도 백석동 1349,흰돌마을(한진),69,2.0,25625,370
223,2012,경기도 백석동 1349,흰돌마을(한진),84,3.0,29760,351
224,2012,경기도 백석동 1351,흰돌마을(청구),59,1.0,18878,317
225,2012,경기도 백석동 1351,흰돌마을(청구),69,2.0,22892,328
226,2012,경기도 사리현동 186,동문1단지,84,3.0,18888,222
227,2012,경기도 사리현동 187,동문2단지,72,2.0,16600,228
228,2012,경기도 사리현동 187,동문2단지,84,3.0,18437,217
